file_path,title,keywords,error
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_4",ЖЫЛЖЫМАЙТЫН МҮЛІК ОБЪЕКТІСІНІҢ КАДАСТРЛЫҚ ПАСПОРТЫ / КАДАСТРОВЫЙ ПАСПОРТ ОБЪЕКТА НЕДВИЖИМОСТИ,"Жер учаскесі, Земельный участок, Астана қ., г. Астана, Нұра ауданы, район Нура, Улы Дала даңғ., 2Е уч., пр. Улы Дала, уч. 2Е, 2202500001083238, 21:335:135:6792, 2100/867497, Жеке/Частная, Жердің санаты, Категория земель, Кон пәтер тұрғын үй кешенінің құрылысы, Строительство многоквартирного жилого комплекса",
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_5",ЖЫЛЖЫМАЙТЫН МҮЛІК ОБЪЕКТІСІНІҢ КАДАСТРЛЫҚ ПАСПОРТЫ / КАДАСТРОВЫЙ ПАСПОРТ ОБЪЕКТА НЕДВИЖИМОСТИ,"кадастровый паспорт, объект недвижимости, земельный участок, Астана, ул. Дала, 2В уч., 21:335:135:6789, 2202500001082930, 2100/867496, жеке меншік/частная собственность, жердің санаты / Категория земель, жер учаскесінің нысаналы мақсаты / Целевое назначение земельного участка, қөп пәтерлі тұрғын кешенін салу/ Строительство многоквартирного жилого комплекса",
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_6",Выписка из решения акима города Астаны,"временное возмездное землепользование, земельные участки, строительство объектов, BI Kids Garden, многоквартирный жилой комплекс, город Астана, управление архитектуры, улица Д.Алдашова, улица Ш.Айтматова, кадастровый паспорт, акимат города Астаны",
"Разрешение на осуществление деятельности, которая может представлять угрозу безопасности полетов воздушных судов или письмо об отсутствии необходимости данного разрешения_1",Разрешение на строительство объекта,"Авиационная администрация Казахстана, строительство объекта, многоквартирный жилой комплекс, паркинг, город Астана, район Нұра, проспект Ұлы Дала, улица Ш. Айтматова, Административный процедурно-процессуальный кодекс Республики Казахстан, авиационная безопасность, разрешение на размещение объекта, электронный документ, электронная цифровая подпись",
"Разрешение на осуществление деятельности, которая может представлять угрозу безопасности полетов воздушных судов или письмо об отсутствии необходимости данного разрешения_2",ТОО «BI Kids Garden»,"Авиационная администрация Казахстана, Оценка безопасности полетов воздушных судов, Строительство объекта, Многоквартирный жилой комплекс, Паркинг, Астана, Район «Нұра», Улица Ш. Айтматова, 3, 4, Приаэродромная территория аэропорта г. Астана, Кадастровый номер земельного участка 21:335:135:6888, Комиссия Нурсултан Назарбаев, РГП на ПХВ «КАЗАЭРОНАВИГАЦИЯ», Правила выдачи разрешений на осуществление деятельности, Координаты WGS-84, Аэродром города Астана",
"Разрешение на осуществление деятельности, которая может представлять угрозу безопасности полетов воздушных судов или письмо об отсутствии необходимости данного разрешения_3",Письмо о гарантии безопасности полетов воздушных судов,"BI Kids Garden, Многоквартирный жилой комплекс, Астана, Район Нура, Проспект Ұлы Дала, Улица Ш. Айтматова, Строительство, Инженерные сети, Безопасность полетов воздушных судов, Госэкспертиза, Приказ МНЭ РК №299, РГП «Государственный экспертизы»",
"Разрешение на осуществление деятельности, которая может представлять угрозу безопасности полетов воздушных судов или письмо об отсутствии необходимости данного разрешения_4",СОГЛАСОВАНИЕ СТРОИТЕЛЬСТВА ТОО «BI Kids Garden»,"Многоквартирный жилой комплекс, Астана, Район «Нура», Пересечение проспекта Улы Дала и улицы ШШ. Айтматова, МЖК UIA.DARYN F, G, Безопасность полетов воздушных судов, Координаты объекта, WGS-84, Блок 1, Блок 2, Блок 3, Блок 4, Кадастровый номер, ТОО «BI Kids Garden»",
Расчет стоимости проектных (проектно-изыскательных) работ_1,Смета № 1-1 на проектные работы,"Многоквартирный жилой комплекс, Паркинг, Астана, Район Нура, Улица Дала и улицы Ш. Айтматова, Очередь строительства, СЦП РК 8.03, Железобетонные каркасы, Стоимость работ, Коэффициенты, Автотранспорт, Стоянки, Водопровод, Пожаротушение, Сметная документация",
Расчет стоимости проектных (проектно-изыскательных) работ_2,Смета № 1-1 на проектные работы,"Многоквартирный жилой комплекс, Астана, район Нура, пересечение проспекта Улы Дала и улицы Ш. Айтматова, 3, 4 очереди строительства, СЦП РК 8.03, жилой дом, автотранспортная парковка, встроенные помещения (офисы), железобетонный каркас, Секция S1, Секция S2, Секция S8, подтапливаемые районы, коэффициенты КС",
Расчет стоимости проектных (проектно-изыскательных) работ_3,Письмо о предоставлении данных для проектирования объекта «Многоквартирный жилой комплекс со встроенными помещениями и паркингом»,"BI Kids Garden, Многоквартирный жилой комплекс, Паркинг, Астана, Район Нура, Проспект Ұлы Дала, Улица Ш. Айтматова, Проектные работы, Изыскательские работы, ПИР, Исходно-разрешительная документация, Государственная экспертиза",
Согласование Комитета по водным ресурсам_1,На №ТЗ-2024-05309157 от 13 сентября 2024 года,"Есильская бассейновая инспекция, Министерство водных ресурсов и ирригации Республики Казахстан, Микрорайонный жилой комплекс, город Астана, Улица Дала и Мингяй Айтбаева, Озеро Талдыколь, Водоохранная полоса, Административное дело, Административно-процедурный кодекс РК",
"Специальные технические условия (особые нормы), согласованные местным исполнительным органом_1","Специальные технические условия №140-МС от 07.08.2025 г. для объекта «Многоквартирный жилой комплекс со встроенными помещениями и паркингом по адресу: город Астана, район Нура, район пересечения проспекта Улы Дала и улицы Ш. Айтматова»","Специальные технические условия, Многоквартирный жилой комплекс, Пожарная безопасность, Паркинг, Астана, Район Нура, Проспект Улы Дала, Улица Ш. Айтматова, Система противопожарной защиты, Автоматическая пожарная сигнализация, Система оповещения и управления эвакуацией, Противопожарный водопровод, Электроустановки, Молниезащита, Конструктивные и объемно-планировочные решения",
Технические условия на водоснабжение и канализацию_1,ТЕХНИЧЕСКИЕ УСЛОВИЯ на забор воды из городского водопровода и сброс стоков в городскую канализацию,"водоснабжение, водоотведение, городской водопровод, городская канализация, жилой комплекс, Астана, Ул. Ш. Айтматова, BI Kids Garden, расход воды, качество воды, водопроводные сети, канализационные сети, гидравлическое испытание, счетчик воды, СН РК 4.01-02-2011",
Технические условия на водоснабжение и канализацию_2,Технические условия на забор воды из городского водопровода и сброс стоков в городскую канализацию,"Многоквартирный жилой комплекс со встроенными помещениями и паркингом, Улица Дала и улица Ш. Айтматова, Водоснабжение, Расход воды, Водопроводные сети, Диаметр трубопровода, Санитарно-эпидемиологическое заключение, Водопровод холодной и горячей воды, Астана, BI Kids Garden, ОКК = ULA Burkitis",
Технические условия на ливневую канализацию_1,Технические условия,"Сети ливневой канализации, Многоквартирный жилой комплекс, Астана, Район Нура, Проспект Улы Дала, Коллектор сетей ливневой канализации, Очистка стоков, Дренажные воды, Производственные сточные воды, Насосные станции, СНиП 2.04.03-85, СН РК 4.01-03-2011, Корпуса-ВЧШГ, Казахстанское содержание",
Технические условия на ливневую канализацию_2,"Касательно объекта «Многоквартирный жилой комплекс со встроенными помещениями и паркингом, расположенный по адресу: г. Астана, район «Нура», проспект Улы Дала, улица Е 75» направления технических условий для целей проектирования и строительства сетей ливневой канализации.","Астана, район Нура, проспект Улы Дала, улица Е 75, Многоквартирный жилой комплекс, встроенные помещения, паркинг, технические условия, проектирование, строительство, сети ливневой канализации, BI Kids Garden, Elorda Eco System",
Технические условия на телефонизацию_1,Технические условия ТУ-48 от «09» июня 2025 г.,"АТ Telecom, Многоквартирный жилой комплекс, Астана, район «Нурa», Улицы Улы Дала и Чингиза Айтматова, Телекоммуникации, Кабельная канализация, Труба Д, НИПИ «Астанагенплан», Слаботочные сети, Подземные сооружения, ДРС (домовой распределительной сети), GPON, FTTB, Кабель ПВХ, Антивандальные шкафы",
Технические условия на теплоснабжение_1,Технические условия «Астана-Теплотранзит» АК,"Астана, Теплотранзит, тепловые сети, инженерные сети, гидравлические испытания, температурный график, отопление, Гкал/час, КТ-жоба, энергетика, нормативные документы, РК РНПБ 3.01-01-Ае-2007, Нуркенов, диаметр, давление",
Технические условия на электроснабжение_1,Технические условия на подключение к сетям электроснабжения,"электроснабжение, многоквартирный жилой комплекс, Улица Ш.Айтматова, район Нура, 4560 килоВатт, ПС-110/20кВ «Арай», ТУ №5-Е-4/(20/1)/(23/4)/26-2365, РУ-20кВ РПК-2Т 20кВ, коэффициент мощности, микропроцессорные устройства релейной защиты, двухсекционная подстанция ТП-20/0,4кВ, кабельные наконечники, ТОО «BI Kids Garden», Астана, 87016008472",
Эскизный проект_1,Эскизный проект,"Многоквартирный жилой комплекс, Встроенные помещения, Паркинг, Астана, Район Нура, Ул. Улы Дала, Ул. Ш. Айтматова, ГУ ""Управления Архитектуры, градостроительства и земельных отношений города Астана"", ТОО ""BI Kids Garden"", Sandybay, ГСЛ № 20016567, Общие технико-экономические показатели, Этажность 18, Класс жилья IV, Сейсмостойкость 9 баллов, Архитектурные решения, Стадия ЭП",
Эскизный проект_2,СОГЛАСОВАНИЕ ЭСКИЗА (ЭСКИЗНОГО ПРОЕКТА),"ГУ Управление архитектуры, градостроительства и земельных отношений города Астаны, Многоквартирный жилой комплекс, Эскизный проект, Астана, Район Нұра, Проспект Ұлы Дала, Улица ш. Айтматова, Кадастровый номер: 21:335:135:6792, Строительство многоквартирного жилого комплекса, BI Kids Garden, Муканов Айбар Саматович, 17042025001661, 2025-04-04, 48711",
Эскизный проект_3,СОГЛАСОВАНИЕ ЭСКИЗА (ЭСКИЗНОГО ПРОЕКТА),"ГУ Управление архитектуры, градостроительства и земельных отношений города Астаны, Многоквартирный жилой комплекс, Эскизный проект, Астана, Район Нұра, Проспект Ұлы Дала, Улица ш. Айтматова, Строительство многоквартирного жилого комплекса, Кадастровый номер: 21:335:135:6792, BI Kids Garden, Муканов Айбар Саматович, 17042025001661, 2025-04-04, 48711",
